,time,jogo,ouro,abates,tempo,torres,inibidores,barons,dragons,arautos,top,jg,mid,adc,sup,lado
78,Fnatic,0,74.8,23,43.15,4,0,0,2,1,Olaf,Xin Zhao,Twisted Fate,Miss Fortune,Rakan,0
79,Hanwha Life,1,80.5,26,43.15,11,3,1,4,1,Renekton,Viego,LeBlanc,Ezreal,Leona,1
80,Hanwha Life,1,66.5,15,36.12,8,1,1,4,2,Aatrox,Lee Sin,Sylas,Aphelios,Rakan,0
81,RNG,0,57.2,5,36.12,3,0,0,1,0,Gwen,Jarvan IV,Twisted Fate,Miss Fortune,Braum,1
82,Fnatic,0,63.4,15,36.36,4,0,0,1,1,Graves,Viego,Zoe,Xayah,Rakan,0
83,PSG Talon,1,76.2,33,36.36,11,4,2,4,1,Jayce,Jarvan IV,Syndra,Miss Fortune,Nautilus,1
84,Gen.G,1,75.5,18,39.45,8,1,1,4,0,Graves,Lee Sin,Syndra,Aphelios,Rakan,0
85,MAD Lions,0,70.4,12,39.45,7,1,2,1,2,Gwen,Viego,Azir,Miss Fortune,Leona,1
86,LNG Esports,0,49.2,4,30.13,4,0,0,2,0,Gwen,Viego,Lissandra,Ezreal,Yuumi,0
87,Team Liquid,1,57.7,12,30.13,11,2,1,3,2,Graves,Trundle,LeBlanc,Tristana,Rell,1
88,Gen.G,0,56.0,7,34.34,2,0,1,0,0,Irelia,Lee Sin,Azir,Aphelios,Lulu,0
89,LNG Esports,1,67.6,22,34.34,11,3,0,4,2,Fiora,Xin Zhao,Syndra,Miss Fortune,Rakan,1
90,MAD Lions,1,73.2,15,37.14,9,1,2,3,2,Kennen,Viego,Sylas,Miss Fortune,Rakan,0
91,Team Liquid,0,62.5,10,37.14,4,0,0,2,0,Jarvan IV,Trundle,Twisted Fate,Aphelios,Thresh,1
92,Team Liquid,1,65.5,16,35.03,9,2,1,5,1,Gnar,Lee Sin,Syndra,Jhin,Rakan,0
93,Gen.G,0,59.9,9,35.03,6,0,0,0,1,Renekton,Taliyah,Yone,Miss Fortune,Leona,1
94,LNG Esports,0,51.6,7,31.22,2,0,0,2,0,Jax,Lee Sin,Irelia,Ziggs,Leona,0
95,MAD Lions,1,64.4,17,31.22,11,4,2,2,2,Gwen,Poppy,Orianna,Lucian,Nami,1
